Business Name,Phone,Street Address,Locality,Category,Rating
Aspen Dental,N/A,N/A,N/A,DentistsProsthodontists & Denture CentersCosmetic DentistryDental Hygienists,N/A
Preferred Dental Care of Chelsea,N/A,N/A,N/A,DentistsDental ClinicsImplant DentistryOrthodontistsCosmetic DentistryClinics,
David A Nusblatt,(833) 219-5360,N/A,N/A,DentistsCosmetic Dentistry,
Preferred Dental Care of Chelsea,(646) 759-4489,N/A,N/A,DentistsClinicsDental Clinics,
Manhattan Dentist,(917) 503-9164,N/A,N/A,DentistsDental ClinicsCosmetic Dentistry,N/A
"Joanna Tricorache, DDS",(646) 835-0172,N/A,N/A,DentistsCosmetic DentistryImplant Dentistry,
Rosa D John DDS PC,(833) 682-4306,N/A,N/A,DentistsCosmetic Dentistry,N/A
Shaun Massiah DMD PC,(212) 222-5225,N/A,N/A,DentistsOrthodontistsOral & Maxillofacial Surgery,
"Perio NYC West: David P. Pitman, DMD",(212) 888-2833,N/A,N/A,DentistsPeriodontistsOral & Maxillofacial Surgery,
"Dr. Kara Mason, DMD",(212) 355-2195,N/A,N/A,DentistsOral & Maxillofacial Surgery,
Rubin Esther S,(212) 593-7272,N/A,N/A,DentistsDental ClinicsImplant Dentistry,
"Irina Rossinski, DDS",(212) 673-3700,N/A,N/A,Dentists,
"Schlesinger, William, DDS",(212) 517-4660,N/A,N/A,DentistsDental ClinicsOral & Maxillofacial Surgery,
Strachan Jeff C,(718) 783-0504,N/A,N/A,DentistsOral & Maxillofacial SurgeryImplant Dentistry,
"Dr. Majid Rajabi-Khamesi, DDS",(212) 481-2535,N/A,N/A,DentistsOral & Maxillofacial Surgery,
Contemporary Dental Implant Centre,(646) 862-7088,N/A,N/A,DentistsDental ClinicsImplant Dentistry,
Century Medical & Dental Center,(212) 369-5566,N/A,N/A,DentistsDental HygienistsProsthodontists & Denture Centers,
"Dr. Jonathan Freed, D.D.S., P.C.",(212) 682-5644,N/A,N/A,DentistsCosmetic Dentistry,N/A
"Dr. Svetlana Yampolsky, DDS",(212) 564-6686,N/A,N/A,DentistsDental ClinicsImplant Dentistry,
"Dr. Elliot Schreiber, DMD",(212) 269-6655,N/A,N/A,Dentists,
"Jay Neuhaus, DDS",(212) 777-6725,N/A,N/A,Dentists,
"David Blaustein, DDS",(212) 243-6081,N/A,N/A,DentistsImplant DentistryTeeth Whitening Products & Services,
SmilesNY,(212) 752-6537,N/A,N/A,DentistsCosmetic Dentistry,
"Dr. Carrie C Giuliano, DDS",(212) 598-5840,N/A,N/A,DentistsOral & Maxillofacial Surgery,
Park Avenue Dental Cosmetics,(212) 532-0690,N/A,N/A,DentistsDental HygienistsDental Clinics,
"Randy Pritz, DMD",(212) 673-3700,N/A,N/A,Dentists,
"Stanley Harris, DDS, PC",(347) 252-3350,N/A,N/A,DentistsCosmetic DentistryOral & Maxillofacial Surgery,
"Dr. Karthilde K Appolon, DDS",(212) 557-8668,N/A,N/A,Dentists,
"Dr. Lisa L Handler, DDS",(212) 269-6655,N/A,N/A,DentistsDental ClinicsOrthodontists,
Michelle Mirsky,(212) 687-3808,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Farinaz Golda Mairzadeh, DDS",(212) 696-4979,N/A,N/A,Dentists,
"Charles Pollak, DDS",(212) 683-2066,N/A,N/A,DentistsPeriodontistsDental Hygienists,
"Dr. Lana Rozenberg, DDS",(212) 677-2510,N/A,N/A,Dentists,
"Dr. Inna Chern, DDS",(212) 838-0842,N/A,N/A,Dentists,
"Dr. Nancy Ma, DDS",(212) 925-2532,N/A,N/A,Dentists,
"Irina Sinensky, DDS",(212) 673-3700,N/A,N/A,Dentists,
"Namik Yusufov, DDS, MDT",(212) 804-0500,N/A,N/A,Dentists,
Dr. Michael Wei D.D.S.,(212) 982-4080,N/A,N/A,DentistsDental LabsCosmetic Dentistry,
"Dr. Yakov M. Royzman, DDS",(212) 579-0552,N/A,N/A,DentistsDental HygienistsImplant Dentistry,
Gentle Family Dentistry Fishkin Margarita,(212) 781-1100,N/A,N/A,Dentists,
Expert Dental PC,(212) 682-2965,N/A,N/A,DentistsCosmetic Dentistry,
Dr. Samuel Rudick & Associates,(212) 757-5749,N/A,N/A,DentistsDental HygienistsDental Clinics,
65 Broadway Dental,(212) 430-3888,N/A,N/A,Dentists,
Nusblatt Dental,(212) 473-2164,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Alice Urbankova DDS, P",(212) 765-7340,N/A,N/A,DentistsDental HygienistsDental Clinics,
Wu Darryl DDS PC,(212) 925-7757,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Robert Veligdan, DMD, PC",(212) 832-2330,N/A,N/A,DentistsOral & Maxillofacial SurgeryCosmetic Dentistry,
"Dr. Jacob J. Kirsch, DDS",(212) 579-0213,N/A,N/A,Dentists,
"Beth Caunitz, D.D.S.",(212) 206-9002,N/A,N/A,Dentists,
Avm Dental Center Inc,(201) 433-8600,N/A,N/A,DentistsImplant DentistryTeeth Whitening Products & Services,
"Deutch, Robert N, DDS",(212) 753-9860,N/A,N/A,DentistsPeriodontistsProsthodontists & Denture Centers,
Dr. Robert M. Sorin DMD PC,(212) 355-3533,N/A,N/A,"DentistsOral & Maxillofacial SurgeryPhysicians & Surgeons, Oral Surgery",
Tribeca Smiles,(212) 473-4444,N/A,N/A,DentistsCosmetic DentistryOrthodontists,
Century Dental Associates,(212) 587-3000,N/A,N/A,DentistsImplant DentistryTeeth Whitening Products & Services,
Martin Man DMD,(212) 962-1305,N/A,N/A,DentistsOral & Maxillofacial SurgeryCosmetic Dentistry,
Lotus Smiles,(201) 433-8600,N/A,N/A,DentistsImplant DentistryTeeth Whitening Products & Services,
"Keith R. Marshall, DDS",(212) 475-8038,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Ernest A. Robertson, DDS",(212) 283-4800,N/A,N/A,DentistsDental HygienistsDental Clinics,
"Dr. Nick Mobilia, DDS",(212) 681-0939,N/A,N/A,DentistsOral & Maxillofacial SurgeryDental Hygienists,
"Oren Rahmanan, DDS",(212) 581-6736,N/A,N/A,DentistsProsthodontists & Denture CentersOrthodontists,
"Dr. YooKyung Park, DDS",(212) 269-6655,N/A,N/A,DentistsPeriodontists,
"Megan S Chin, DDS",(212) 373-4651,N/A,N/A,DentistsPediatric Dentistry,
"Randolph Diamond, DDS",(212) 873-2651,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Michael T. Rogers, DMD",(212) 473-3344,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Leena Lakhkar, DDS",(212) 759-2520,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"Dr. Wen Li-Cavallo, DDS",(212) 233-6606,N/A,N/A,Dentists,
"Dr. Lawrence Limb, DMD",(212) 877-5577,N/A,N/A,DentistsPediatric DentistryOrthodontists,
"Vera Chernomordik, DMD",(212) 804-0500,N/A,N/A,Dentists,
"Kristin Harrison, DMD",(212) 935-9300,N/A,N/A,Dentists,
"Nhat M Nguyen-Win, DDS",(201) 332-4699,N/A,N/A,Dentists,
"Clifford Salm, DMD",(347) 640-5989,N/A,N/A,DentistsOral & Maxillofacial Surgery,
"William Victor Munton, DDS",(212) 685-6221,N/A,N/A,DentistsProsthodontists & Denture Centers,
"Charles M. Marks, DDS",(212) 279-1232,N/A,N/A,DentistsDental ClinicsImplant Dentistry,
Herskovits Gary DDS,(718) 745-3456,N/A,N/A,DentistsImplant DentistryOrthodontists,
